,0
0,The first playthrough of elden ring is one of the best eperiences gaming can offer you but after youve explored everything in the open world and you ve experienced all of the surprises you lose motivation to go exploring on repeat playthroughs which takes lot away from the replayability which is very important thing for from games imo 
1,a replay solidified my love for elden ring so easily my favorite game of all time actually beating malenia this time was also an amazing feeling just love being in this world man its the greatest of all time
2,The game is absolutely beautiful with so much to do The replayability is crazy And it never gets old with it too 
3,Took everything great about the Soulsborne games and make it 100 better 
4,I play with my overlevelled friend every time and we still fail sometimes he on NG6 insanely difficult game lol n gorgeous graphics animations everything about this game is so beautiful deserves all the hype it gets If you have powerful enough pc definitely recommend you play it on there if you use keyboard you ll want to change the keybinds because the defaults are ass 
5,Tied as my favorite souls game with Bloodborne truly one ll keep coming back too 
6,convinced this is roguelike for people who do not like the genre The art is technically good but the aesthetic does very little for me too clean or something idk wish liked it but do not
7,incredible art banger soundtrack surprisingly charming storyline and big red dog hades has very smooth gameplay but after playing it for while it just feels like youre doing the same 3 hit combo ove and over again which dont get me wrong that combo feels great to do but once becomes muscle memory you kinda go into autopilot also think the boons are cool but would like to see them change the flow of combat bit more there are some cool ones like the grape boon that can change the way you play but most of them are just upgrades that dont really change the gameplay or strategy other then those 2 small gripes the game is fantastic 
8,People tell me this game gets really really good at some point but ve beaten entire games in the amount of time gave this game 
9,Não sou muito de jogo indie admito que joguei poucos mas devo dizer que Hades foi um dos melhores jogos que joguei na vida facilmente no top 15 Toda sua arte dublagem gameplay carisma dos personagens é tudo incrivel
10,I can shake the feeling that am thoroughly bored playing Hades ve picked up Hades three times over the last few years and three times ve found myself putting down the controller after handful of hours especially after reaching the third stage and couldn figure out why it wasn working for me After giving it few good goes ve finally managed to pin down what it is that just doesn click for me about Hades 
11,One of my favorites in the rogue likes lites only being beat by binding of Isaac love the characters Thanatos my beloved and the writing and the art style and RRRAAAAHHH THIS GAME IS AWESOME
12,This game is the game that is not CS GO that have played the most ever have played this game for 400 hours 
13,A really good switch game however didn really grip me like mario odyssey
14,i was very disappointed by the final boss fight but the rest of the game is so good it makes me not want to even do the final boss fight anyway just so can play more of the game do wish that there were more unique mechanics in combat besides just parrying and link flurry rush but the world is really pretty and actually incentivizes exploring it characters are great story is great and makes you work for it and there tons of hidden secrets and details 
15,em 105 horas de jogo não houve um segundo que eu não tava me divertindo eu acho que isso diz muito
16,Sencillamente el mejor juego que he tenido el placer de disfrutar esperé 5 años para poder jugarlo puedo decir que valió cada segundo la espera No estoy ni cerca de conseguir el 100 tengo mas de 100 horas aún estoy descubriendo cosas nuevas Va más allá de un simple juego es una experiencia que lamentablemente solo se puede vivir una vez en la vida la recomiendo totalmente 
17,em meio tanto jogo de mundo aberto ruim saindo por aí na última década acho que da pra entender porque breath of the wild chocou tanto as pessoas no ano em que ele lançou realmente eu acho que é melhor mundo aberto que eu já joguei até hoje explorar cada pedacinho desse mundo é TÃO GOSTOSO parece que tudo aqui tá no mapa tem um propósito para estar lá diferente dos mapas vazios da ubisoft por exemplo Acho que unico defeito é esses sistema chatinho de durabilidade das armas ficar trocando de arma tempo todo é tão chato espero que no próximo não tenha 
18,soundtrack is tied for 1 with nier automata super charming story and characters which have become iconic and all that made by 1 man thats it thats the review have no criticisms
19,Just play this game Dont look at any of these reviews just pick the game up and know nothing else about it if you are one of the lucky ones that didnt get spoiled on the game It will fucking break you in the best of ways
20,Não há palavras que deem para descrever experiência que foi esse jogo 
21,CLASSSSSSSSSSSSSSSICCCCCCCCCCCCCCCCCCC
